Site Name,County,Latitude,Longitutde,Sum,Animal,Bird,Bear,Elephant,Mink,Horned Bird,Water Spirit,No Tailed Turtle,LT Turtle,Tailed Quadruped,ST Quadruped,LT Quadrupeds,Linear,Unknown,Effigy,Dumbell,Club Linear,Chain,Conical,Bi-Conical,Oval,status ,,,,,,,,,,,,,,,,,,,,
Barber,Dane,42.958,-89.284,85,2,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,4,57,,0,0,0,0,0,0,0,,,,,,,,,,,,,
Baskerville Park,Dane,43.107,-89.479,26,0,2,1,0,0,0,0,0,0,0,0,1,0,19,1,0,0,0,0,0,2,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Bird,Dane,43.001,-89.306,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Black Earth,Dane,43.135,-89.749,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,intact,0,0,0,0,0,0,0,,,,,,,,,,,,,
Blackhawk Country Club,Dane,43.08,-89.453,12,0,1,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,partially destroyed,1,0,0,0,0,0,0,,,,,,,,,,,,,
Blue Mounds #1,Dane,43.025,-89.681,16,1,1,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Blue Mounds #2,Dane,43.013,-89.824,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,partially destroyed,0,0,1,0,0,0,0,,,,,,,,,,,,,
Blue Mounds Trail,Dane,43.082,-89.532,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Bridge Road,Dane,43.049,-89.34,36,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,30,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Bryant,Dane,43.024,-89.357,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,destroyed,0,1,0,0,0,0,0,,,,,,,,,,,,,
Burrow's Park Bird,Dane,43.102,-89.368,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,intact (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
C. M. Colladay #1,Dane,42.964,-89.278,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Camp Leonard,Dane,43.005,-89.307,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Capitol Park,Dane,43.075,-89.383,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Colladay Point,Dane,42.962,-89.275,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,8,destroyed,0,0,1,0,0,0,0,,,,,,,,,,,,,
Crystal Lake,Dane,43.285,-89.611,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Dale (or Evan-Nelson),Dane,43.018,-89.291,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Deansville,Dane,43.177,-89.095,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Dividing Ridge,Dane,43.053,-89.399,34,0,3,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0,0,0,13,destroyed,0,4,0,0,0,0,0,,,,,,,,,,,,,
E-Way,Dane,43.029,-89.367,6,0,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bank,Dane,43.275,-89.712,10,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Edgewood,Dane,43.049,-89.413,24,0,1,2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,15,intact (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
Edward's Park,Dane,43.029,-89.306,11,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,3,partially destroyed,0,1,0,0,0,0,0,,,,,,,,,,,,,
Eighmy,Dane,43.033,-89.303,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Elmside Park,Dane,43.09,-89.342,23,0,4,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,9,partially destroyed,0,2,0,0,0,0,0,,,,,,,,,,,,,
Eva,Dane,43.062,-89.419,8,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Evans,Dane,42.984,-89.32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Fairhaven,Dane,43.049,-89.325,6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Farwell's Point,Dane,43.132,-89.408,37,0,2,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,19,intact (protected),1,0,2,0,0,0,0,,,,,,,,,,,,,
Fitzgibbon,Dane,43.156,-89.458,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Forest Hill Cemetery,Dane,43.06,-89.432,7,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,partially destroyed (protected),1,0,0,0,0,0,0,,,,,,,,,,,,,
Fox's Bluff,Dane,43.111,-89.453,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,intact,0,0,0,0,0,0,0,,,,,,,,,,,,,
Frost Woods,Dane,43.055,-89.335,11,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,3,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Fuller Woods,Dane,43.091,-89.374,48,0,3,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,37,partially destroyed,0,0,0,1,0,0,0,,,,,,,,,,,,,
Gallistel Woods,Dane,43.045,-89.424,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,intact (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
Ghost Ridge,Dane,43.098,-89.301,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Gilman,Dane,43.03,-89.351,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Glenway,Dane,43.056,-89.431,3,0,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Greenbush,Dane,43.059,-89.405,18,1,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,destroyed,1,0,1,0,0,0,0,,,,,,,,,,,,,
H. P. Hall Bird,Dane,43.128,-89.316,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Halverson/Pflaum-McWilliams,Dane,43.052,-89.317,15,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,2,partially destroyed (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
Hanson,Dane,43.032,-89.226,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,intact,0,0,0,0,0,0,0,,,,,,,,,,,,,
Heim,Dane,43.098,-89.498,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,intact (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
Hornung,Dane,43.258,-89.694,12,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Inama,Dane,43.259,-89.702,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jaggi,Dane,42.954,-89.549,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jefferson Street Bear,Dane,43.059,-89.421,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Kennedy Pond,Dane,43.122,-89.447,9,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Koshkonong,Dane,42.85,-89.018,75,0,0,1,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,1,0,57,destroyed,0,1,1,0,1,0,0,,,,,,,,,,,,,
Lake Edge Park,Dane,43.085,-89.324,8,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,2,partially destroyed (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
Lake Forest #2,Dane,43.047,-89.419,4,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,partially destroyed (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
Lake Monona,Dane,43.058,-89.35,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Lakeside Hotel,Dane,43.052,-89.394,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Larson Park,Dane,43.017,-89.303,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Laufenburg,Dane,43.034,-89.697,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,intact,0,0,0,0,0,0,0,,,,,,,,,,,,,
Lee,Dane,43.015,-89.242,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,destroyed,0,1,1,0,0,0,0,,,,,,,,,,,,,
Lewis,Dane,43.013,-89.3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,partially destroyed (protected),0,1,0,0,0,0,0,,,,,,,,,,,,,
Lewis Effigy,Dane,43.061,-89.408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,1,0,,,,,,,,,,,,,
Locke,Dane,43.055,-89.63,4,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Lohff,Dane,43.021,-89.706,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Maple Bluff,Dane,43.113,-89.372,22,0,12,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,destroyed,4,1,1,0,0,0,0,,,,,,,,,,,,,
Maple Bluff #2,Dane,43.12,-89.379,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,10,unknown,0,1,0,0,0,0,0,,,,,,,,,,,,,
McConnell,Dane,43.008,-89.334,17,0,2,1,0,0,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,2,intact,0,0,2,0,0,0,0,,,,,,,,,,,,,
Melburg,Dane,42.915,-89.095,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Mendota Hills Bird,Dane,43.13,-89.38,6,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Mendota School,Dane,43.142,-89.384,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
